
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PS,WD10M,PRECTOTCORR
2015,1,1,0,0.0,25.29,81.75,3.97,100.75,119.7,0.32
2015,1,1,1,0.0,25.01,82.31,3.98,100.67,119.9,0.34
2015,1,1,2,0.0,24.71,82.07,3.93,100.62,120.9,0.2
2015,1,1,3,0.0,24.55,81.81,3.8,100.59,122.9,0.25
2015,1,1,4,0.0,24.08,84.16,3.45,100.61,126.4,0.5
2015,1,1,5,0.0,23.85,85.97,3.25,100.66,129.8,0.6
2015,1,1,6,30.42,24.48,83.92,3.51,100.73,131.3,0.68
2015,1,1,7,165.98,26.0,76.01,4.6,100.8,128.1,0.82
2015,1,1,8,337.7,27.51,68.31,5.19,100.82,120.2,0.37
2015,1,1,9,494.65,29.03,61.45,5.85,100.81,114.4,0.49
2015,1,1,10,487.85,30.17,57.16,6.35,100.77,111.2,2.63
2015,1,1,11,597.4,30.89,55.25,6.7,100.71,109.4,1.62
2015,1,1,12,593.1,31.25,54.54,6.89,100.64,108.3,1.32
2015,1,1,13,615.12,31.21,55.04,6.96,100.56,107.3,1.55
2015,1,1,14,537.1,30.92,55.96,6.97,100.5,106.5,1.74
2015,1,1,15,382.98,30.29,58.06,6.91,100.47,105.3,1.86
2015,1,1,16,246.77,29.42,61.25,6.63,100.49,103.8,2.14
2015,1,1,17,120.8,28.34,65.59,6.16,100.53,102.7,2.38
2015,1,1,18,14.15,27.1,72.02,5.4,100.59,101.7,1.94
2015,1,1,19,0.0,26.41,76.99,4.61,100.66,101.5,2.46
2015,1,1,20,0.0,26.03,80.14,3.89,100.71,102.6,3.37
2015,1,1,21,0.0,25.7,82.42,3.35,100.74,103.5,3.29
2015,1,1,22,0.0,25.42,84.18,3.01,100.73,103.4,4.3
2015,1,1,23,0.0,25.17,85.61,2.77,100.69,102.5,5.72
2015,1,2,0,0.0,24.94,86.68,2.63,100.62,101.9,8.65
2015,1,2,1,0.0,24.72,87.27,2.56,100.56,101.5,9.67
2015,1,2,2,0.0,24.54,87.77,2.52,100.53,101.2,8.44
2015,1,2,3,0.0,24.35,88.35,2.53,100.52,101.8,6.79
2015,1,2,4,0.0,24.2,88.74,2.63,100.54,103.2,5.58
2015,1,2,5,0.0,24.09,89.12,2.76,100.59,104.7,5.79
2015,1,2,6,19.65,24.64,86.53,3.26,100.65,105.8,6.76
2015,1,2,7,132.18,25.81,80.29,4.26,100.72,106.5,9.88
2015,1,2,8,260.35,27.13,72.93,4.63,100.74,106.2,13.03
2015,1,2,9,390.3,28.46,66.38,4.97,100.75,105.9,8.88
2015,1,2,10,532.08,29.55,61.51,5.34,100.73,106.2,5.25
2015,1,2,11,674.92,30.32,58.13,5.66,100.7,106.2,4.22
2015,1,2,12,674.25,30.78,56.34,5.95,100.64,106.3,3.81
2015,1,2,13,686.47,30.94,55.57,6.4,100.54,107.4,4.59
2015,1,2,14,595.75,30.68,56.18,6.58,100.47,110.0,4.61
2015,1,2,15,456.55,30.17,57.71,6.58,100.43,112.6,5.21
2015,1,2,16,277.73,29.39,60.32,6.55,100.44,114.5,6.24
2015,1,2,17,117.1,28.22,65.11,6.42,100.48,115.6,7.0
2015,1,2,18,12.88,26.84,72.29,5.8,100.55,117.6,6.68
2015,1,2,19,0.0,26.01,77.58,5.23,100.63,121.2,7.96
2015,1,2,20,0.0,25.55,80.16,4.84,100.69,125.9,6.6
2015,1,2,21,0.0,25.19,82.12,4.34,100.73,130.7,6.77
2015,1,2,22,0.0,24.9,83.59,4.01,100.71,135.3,7.89
2015,1,2,23,0.0,24.62,84.76,3.84,100.67,137.8,5.33
2015,1,3,0,0.0,24.36,85.4,3.78,100.59,137.6,4.73
2015,1,3,1,0.0,24.17,85.79,3.85,100.52,135.2,3.59
2015,1,3,2,0.0,24.07,85.52,3.96,100.46,132.1,3.05
2015,1,3,3,0.0,24.06,84.49,4.1,100.44,130.8,3.36
2015,1,3,4,0.0,24.01,84.08,4.25,100.47,131.2,4.14
2015,1,3,5,0.0,24.02,83.65,4.41,100.52,132.2,4.62
2015,1,3,6,35.42,24.42,81.73,4.84,100.6,133.7,5.39
2015,1,3,7,165.4,25.73,74.25,5.95,100.67,135.0,6.72
2015,1,3,8,380.0,27.18,65.99,6.12,100.7,134.6,6.33
2015,1,3,9,613.05,28.5,59.88,6.05,100.71,132.8,3.99
2015,1,3,10,876.78,29.6,55.22,6.07,100.69,130.4,0.54
2015,1,3,11,944.3,30.42,51.75,6.1,100.66,128.1,0.21
2015,1,3,12,1014.58,31.01,49.06,6.16,100.61,126.9,0.13
2015,1,3,13,986.22,31.24,47.45,6.22,100.55,125.6,0.09
2015,1,3,14,838.55,31.04,47.19,6.34,100.5,123.3,0.05
2015,1,3,15,650.55,30.28,49.12,6.58,100.47,120.3,0.04
2015,1,3,16,431.35,29.05,53.24,6.7,100.47,117.8,0.03
2015,1,3,17,185.77,27.59,59.27,6.52,100.51,115.7,0.02
2015,1,3,18,16.08,26.25,66.12,5.77,100.57,114.2,0.02
2015,1,3,19,0.0,25.57,70.88,5.21,100.65,112.4,0.01
2015,1,3,20,0.0,25.19,73.79,4.96,100.73,109.4,0.0
2015,1,3,21,0.0,24.85,76.09,4.67,100.77,105.6,0.06
2015,1,3,22,0.0,24.46,78.36,4.44,100.77,103.4,0.04
2015,1,3,23,0.0,24.1,80.29,4.24,100.72,104.3,0.06
2015,1,4,0,0.0,23.83,81.43,4.08,100.64,106.8,0.05
2015,1,4,1,0.0,23.64,81.77,3.93,100.57,109.5,0.03
2015,1,4,2,0.0,23.56,81.27,3.73,100.55,111.4,0.01
2015,1,4,3,0.0,23.71,79.46,3.51,100.56,111.7,0.01
2015,1,4,4,0.0,23.81,77.94,3.41,100.6,112.6,0.01
2015,1,4,5,0.0,23.82,77.89,3.42,100.67,114.3,0.01
2015,1,4,6,44.92,24.37,75.94,3.73,100.74,114.2,0.01
2015,1,4,7,246.15,25.62,70.45,4.73,100.82,109.5,0.01
2015,1,4,8,473.23,26.5,66.91,4.89,100.87,103.1,0.02
2015,1,4,9,679.65,27.67,62.48,5.05,100.88,98.5,0.05
2015,1,4,10,804.25,28.84,58.07,5.3,100.85,94.8,0.13
2015,1,4,11,832.75,29.68,54.69,5.51,100.82,90.9,0.09
2015,1,4,12,872.95,30.21,52.51,5.68,100.77,87.5,0.14
2015,1,4,13,810.08,30.3,52.39,5.81,100.71,85.9,0.12
2015,1,4,14,699.65,30.01,53.59,5.78,100.67,84.8,0.13
2015,1,4,15,532.92,29.31,56.2,5.68,100.64,84.4,0.28
2015,1,4,16,331.55,28.28,60.03,5.4,100.64,85.1,0.31
2015,1,4,17,131.2,27.25,64.96,5.03,100.69,88.0,0.41
2015,1,4,18,14.23,26.25,71.46,4.48,100.75,90.9,0.4
2015,1,4,19,0.0,25.64,76.6,4.13,100.82,92.4,0.31
2015,1,4,20,0.0,25.32,79.54,4.06,100.87,92.4,0.37
2015,1,4,21,0.0,25.08,81.65,4.05,100.9,92.0,0.37
2015,1,4,22,0.0,24.89,83.53,3.96,100.89,91.4,0.31
2015,1,4,23,0.0,24.74,85.11,3.96,100.84,90.0,0.29
2015,1,5,0,0.0,24.64,86.08,3.91,100.77,88.5,0.29
2015,1,5,1,0.0,24.41,87.53,3.76,100.72,87.9,0.35
2015,1,5,2,0.0,24.22,88.35,3.7,100.69,87.2,0.31
2015,1,5,3,0.0,24.09,88.87,3.64,100.68,86.7,0.48
2015,1,5,4,0.0,24.02,88.59,3.56,100.71,85.8,0.62
2015,1,5,5,0.0,23.86,89.07,3.41,100.78,85.8,0.72
2015,1,5,6,37.47,24.35,86.45,3.71,100.85,86.9,0.68
2015,1,5,7,225.85,25.74,78.19,4.6,100.92,87.6,0.63
2015,1,5,8,471.08,27.19,69.74,4.81,100.96,88.1,0.62
2015,1,5,9,644.25,28.75,62.2,4.98,100.98,88.6,0.61
2015,1,5,10,785.38,30.0,56.47,5.21,100.95,88.7,0.69
2015,1,5,11,869.65,30.83,52.71,5.5,100.89,89.3,0.64
2015,1,5,12,830.25,31.13,51.33,5.76,100.82,90.3,0.68
2015,1,5,13,832.53,30.82,52.35,5.87,100.75,92.4,0.75
2015,1,5,14,733.2,30.46,53.72,5.85,100.68,95.5,0.67
2015,1,5,15,533.0,29.98,55.64,5.82,100.63,98.7,0.76
2015,1,5,16,342.27,29.22,58.87,5.83,100.62,101.5,0.82
2015,1,5,17,145.3,28.1,64.34,5.76,100.65,104.3,0.44
2015,1,5,18,15.23,26.8,72.22,5.29,100.71,106.9,0.55
2015,1,5,19,0.0,26.07,78.26,4.87,100.77,110.0,0.39
2015,1,5,20,0.0,25.82,80.84,4.59,100.81,112.7,0.36
2015,1,5,21,0.0,25.64,82.56,4.28,100.85,115.5,0.64
2015,1,5,22,0.0,25.52,83.48,4.13,100.84,118.5,0.16
2015,1,5,23,0.0,25.37,84.43,4.06,100.79,121.2,0.23
2015,1,6,0,0.0,25.25,85.23,4.12,100.73,123.3,0.3
2015,1,6,1,0.0,25.08,86.41,4.11,100.69,125.4,0.37
2015,1,6,2,0.0,24.93,87.02,4.22,100.67,127.2,0.4
2015,1,6,3,0.0,24.82,87.23,4.44,100.65,128.2,0.46
2015,1,6,4,0.0,24.75,87.4,4.7,100.67,128.5,0.5
2015,1,6,5,0.0,24.7,87.46,4.96,100.72,128.4,0.44
2015,1,6,6,34.15,24.93,86.21,5.45,100.78,128.2,0.39
2015,1,6,7,209.6,26.05,78.91,6.47,100.83,126.8,0.39
2015,1,6,8,409.08,27.5,70.28,6.89,100.86,124.9,0.4
2015,1,6,9,585.92,28.81,63.49,7.04,100.88,123.6,0.29
2015,1,6,10,798.0,29.98,58.02,7.1,100.85,123.2,0.52
2015,1,6,11,894.95,30.85,54.54,7.14,100.81,123.6,0.42
2015,1,6,12,957.78,31.35,52.73,7.27,100.75,124.3,0.5
2015,1,6,13,925.12,31.41,52.52,7.51,100.68,125.3,0.55
